time,Pressure
2020-02-03 14:38:54.694894,660.4
2020-02-03 14:38:55.224657,659.4856
2020-02-03 14:38:55.754367,659.4856
2020-02-03 14:38:56.284073,658.4696
2020-02-03 14:38:56.813791,659.4856
2020-02-03 14:38:57.343490,659.4856
2020-02-03 14:38:57.873219,659.4856
2020-02-03 14:38:58.402854,659.4856
2020-02-03 14:38:58.932638,659.4856
2020-02-03 14:38:59.462377,659.4856
2020-02-03 14:38:59.992135,659.4856
2020-02-03 14:39:00.521732,659.4856
2020-02-03 14:39:01.051521,659.4856
2020-02-03 14:39:01.581244,659.4856
2020-02-03 14:39:02.110938,660.4
2020-02-03 14:39:02.650671,659.4856
2020-02-03 14:39:03.180386,660.4
2020-02-03 14:39:03.710840,659.4856
2020-02-03 14:39:04.240367,659.4856
2020-02-03 14:39:04.770111,659.4856
2020-02-03 14:39:05.299761,659.4856
2020-02-03 14:39:05.829692,659.4856
2020-02-03 14:39:06.359435,659.4856
2020-02-03 14:39:06.889139,659.4856
2020-02-03 14:39:07.418869,660.4
2020-02-03 14:39:07.948575,659.4856
2020-02-03 14:39:08.478307,659.4856
2020-02-03 14:39:09.008012,660.4
2020-02-03 14:39:09.537739,659.4856
2020-02-03 14:39:10.067229,659.4856
2020-02-03 14:39:10.597170,660.4
2020-02-03 14:39:11.126875,659.4856
2020-02-03 14:39:11.656551,659.4856
2020-02-03 14:39:12.186324,659.4856
2020-02-03 14:39:12.716037,659.4856
2020-02-03 14:39:13.245740,659.4856
2020-02-03 14:39:13.775432,659.4856
2020-02-03 14:39:14.305186,659.4856
2020-02-03 14:39:14.834665,659.4856
2020-02-03 14:39:15.364609,660.4
2020-02-03 14:39:15.894338,659.4856
2020-02-03 14:39:16.424041,659.4856
2020-02-03 14:39:16.953776,659.4856
2020-02-03 14:39:17.483478,659.4856
2020-02-03 14:39:18.013209,660.4
2020-02-03 14:39:18.542875,660.4
2020-02-03 14:39:19.072638,659.4856
2020-02-03 14:39:19.602131,660.4
2020-02-03 14:39:20.132071,660.4
2020-02-03 14:39:20.671686,659.4856
2020-02-03 14:39:21.201463,659.4856
2020-02-03 14:39:21.731217,659.4856
2020-02-03 14:39:22.260842,659.4856
2020-02-03 14:39:22.790650,659.4856
2020-02-03 14:39:23.320368,659.4856
2020-02-03 14:39:23.850069,659.4856
2020-02-03 14:39:24.379804,659.4856
2020-02-03 14:39:24.909523,660.4
2020-02-03 14:39:25.438991,660.4
2020-02-03 14:39:25.968917,660.4
2020-02-03 14:39:26.498661,659.4856
2020-02-03 14:39:27.028378,659.4856
2020-02-03 14:39:27.558086,660.4
2020-02-03 14:39:28.087807,659.4856
